117,,4 Tiles,9 Combinations,,Count,,,,,,This is after using random_device as a seed,,
367,,A,1,147,1,,,117,,117,,12,147
117,,,2,137,2,,,437,,427,,12,137
367,,,3,117,175,,,437,,457,,11,117
437,,,4,327,3,,,437,,137,,12,327
437,,,5,347,0,,,117,,327,,11,347
367,,,6,367,161,,,367,,117,,9,367
117,,,7,427,0,,,437,,457,,7,427
437,,,8,457,2,,,437,,457,,16,457
367,,,9,437,156,,,117,,347,,11,437
367,,,,,,,,367,,367,,,
437,,,1,147,1,,,117,,147,,,
437,,,2,137,3,,,367,,437,,,
437,,,3,117,146,,,367,,457,,,
367,,,4,327,1,,,367,,367,,,
117,,,5,347,2,,,437,,147,,,
367,,,6,367,177,,,117,,327,,,
117,,,7,427,1,,,437,,147,,,
117,,,8,457,0,,,437,,137,,,
117,,,9,437,169,,,367,,347,,,
367,,,,,,,,117,,117,,,
437,,,,,,,,117,,427,,,
117,,,,,,,,437,,367,,,
437,,,,,,,,117,,147,,,
367,,,,,,,,437,,327,,,
437,,,,,,,,437,,437,,,
437,,,,,,,,437,,147,,,
367,,,,,,,,117,,137,,,
367,,,,,,,,117,,137,,,
437,,,,,,,,367,,367,,,
367,,,,,,,,137,,457,,,
367,,,,,,,,117,,347,,,
117,,,,,,,,437,,117,,,
117,,,,,,,,117,,137,,,
437,,,,,,,,367,,137,,,
437,,,,,,,,437,,147,,,
437,,,,,,,,437,,457,,,
117,,,,,,,,367,,367,,,
367,,,,,,,,367,,147,,,
367,,,,,,,,367,,457,,,
437,,,,,,,,367,,437,,,
437,,,,,,,,437,,437,,,
437,,,,,,,,367,,147,,,
117,,,,,,,,367,,367,,,
117,,,,,,,,117,,457,,,
437,,,,,,,,437,,347,,,
367,,,,,,,,367,,457,,,
367,,,,,,,,367,,457,,,
367,,,,,,,,437,,347,,,
117,,,,,,,,117,,327,,,
117,,,,,,,,367,,457,,,
117,,,,,,,,367,,327,,,
367,,,,,,,,437,,347,,,
117,,,,,,,,117,,137,,,
367,,,,,,,,437,,117,,,
437,,,,,,,,367,,437,,,
117,,,,,,,,367,,367,,,
117,,,,,,,,437,,347,,,
117,,,,,,,,437,,457,,,
117,,,,,,,,437,,347,,,
367,,,,,,,,117,,347,,,
367,,,,,,,,117,,327,,,
117,,,,,,,,367,,437,,,
437,,,,,,,,367,,437,,,
367,,,,,,,,367,,147,,,
367,,,,,,,,437,,437,,,
437,,,,,,,,437,,347,,,
117,,,,,,,,437,,427,,,
117,,,,,,,,437,,327,,,
457,,,,,,,,367,,437,,,
437,,,,,,,,437,,137,,,
117,,,,,,,,367,,427,,,
367,,,,,,,,367,,117,,,
367,,,,,,,,437,,137,,,
437,,,,,,,,367,,117,,,
117,,,,,,,,437,,347,,,
117,,,,,,,,437,,327,,,
437,,,,,,,,117,,327,,,
367,,,,,,,,117,,457,,,
117,,,,,,,,367,,137,,,
437,,,,,,,,367,,117,,,
437,,,,,,,,117,,147,,,
117,,,,,,,,367,,327,,,
117,,,,,,,,117,,367,,,
437,,,,,,,,117,,327,,,
117,,,,,,,,437,,117,,,
117,,,,,,,,367,,427,,,
117,,,,,,,,367,,367,,,
437,,,,,,,,117,,117,,,
437,,,,,,,,437,,147,,,
117,,,,,,,,117,,147,,,
117,,,,,,,,367,,327,,,
437,,,,,,,,117,,427,,,
117,,,,,,,,367,,457,,,
367,,,,,,,,437,,437,,,
437,,,,,,,,367,,137,,,
367,,,,,,,,117,,437,,,
437,,,,,,,,367,,457,,,
117,,,,,,,,437,,137,,,
117,,,,,,,,367,,117,,,
437,,,,,,,,117,,457,,,
367,,,,,,,,367,,427,,,
437,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
147,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,347,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,347,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
327,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
137,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,327,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,427,,,,,
437,,,,,,,,137,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
327,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,147,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,437,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,137,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
457,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
367,,,,,,,,437,,,,,
117,,,,,,,,367,,,,,
327,,,,,,,,437,,,,,
437,,,,,,,,437,,,,,
367,,,,,,,,117,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
137,,,,,,,,117,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,437,,,,,
437,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
437,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,437,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
367,,,,,,,,117,,,,,
437,,,,,,,,367,,,,,
117,,,,,,,,117,,,,,
117,,,,,,,,367,,,,,
437,,,,,,,,367,,,,,
367,,,,,,,,367,,,,,
,,,,,,,,117,,,,,
